id,section,declaration,first_page,title
3-3-4,3,3-3,65,"Visualize the various impacts of corporations on the environment, society, and humanity, and together support enterprises that embody kindness and enrich people’s lives and so- ciety, thereby realizing Keisei-Saimin—building a peaceful and prosperous world by saving and nurturing people. Participants have responded positively, with comments like: “my perspective when shopping has changed” and: “this made me think about responsibility in fashion for the first time,” indicating a clear shift in awareness. Looking ahead to 2050, Mr. Tani aims not only to deepen and expand these educational efforts, but also to explore new approaches that integrate fashion and art. Through visual arts, film, photogra- phy, and body expression, he seeks to create sensory ex- periences that allow people to grasp the “life and death” of clothing. He envisions exhibitions where visitors can follow the narrative of a garment—from its creation and usage to its eventual disposal—through visuals and tactile senses. Using sounds, scents, and materials, he hopes to convey the flow of Inochi embedded in garments and evoke a visceral awareness of loss, connection, and ecology. The Inochi Forum also believes that fashion must be rede- fined not as mere consumer goods, but as a way of living. Clothing wraps our lived time—our very Inochi. Paying attention to where, by whom, with what materials, and for what purpose a garment is made is a profound act of re- spect for the Inochi of others and of the Earth. Confronting the reality that many garments are incinerated touches on our perceptions of life and death. The ultimate fate of cloth- ing invites us to reconsider how we face the end of Inochi. Fashion holds the power to transform society. It is more than trends—it is a declaration of our stance toward coexisting with the world. Believing in this potential, the Inochi Forum will continue working alongside fashion planners like Mr. Tani to spread the message of “responsibility in creation,” “responsibility in use,” and the “dignity of Inochi” across the globe—through the medium of fashion. [References] ・MUJI: “[Before Choosing an Item, Think About It First—Yusuke Tani Talk Event | Event Report ①—Nonoichi Meirin Street Store]” https://www.muji.com/jp/ja/shop/045781/articles/events-and- areainfo/events/463571 ・Sotokoto: “Does That Clothing Have a Love Story? A Fashion Planner Who Communicates Through Words and Attire” https://sotokoto-online.jp/sustainability/3195 ・Diario Libre: “Artistas en Proyecto” — A JICA Initiative to Pro- mote Development Through Art https://www.diariolibre.com/revista/cultura/2023/12/27/artis- tas-en-proyecto-una-iniciativa-de-la-jica/2561154 ・JICA: “Workshop in the Dominican Republic on ‘Fashion and the Environment – The Traveling Garment’ Instructors: Yusuke Tani, Rikiya Nakaegawa” https://www.jica.go.jp/overseas/america/pla- za/1555922_23386.html ・Miércoles: “JICA Donates Uniforms for Health Promoters and Farmers” https://m.n.com.do/2024/10/31/la-jica-dona-uniformes-pa- ra-promotores-de-salud-y-agricultores/ ・Asahi Shimbun withPlanet: “Fashion and International Cooper- ation — The Significance of Making Uniforms in the Dominican Republic” https://www.asahi.com/withplanet/article/15726032 [Action Platform] Art, Culture and Sports [SDGs]"
3-3-5,3,3-3,67,"Transform the structure of our society from capitalism to an “Empathy Capital Society”—a new model of mutual support—through the use of community currencies, move away from warlike language often used in business and instead adopt words that reflect harmony and cooperation. eumo Day: A gathering for those striving to realise an open empathy-based society in 2024"
3-4-1,3,3-4,68,Realize a future supported by empathy by promoting social businesses that are not only supportive of society but are also supported by society. 100 people×100 Days Musical
3-4-2,3,3-4,69,"Create a society in which people engage in healthy dialogue—transcending isolation and fragmentation—by building a new cultural foundation for communication in the age of digi- tal hyper-connectivity and algorithmic influence. economic rationality and efficiency, and revitalizing Japan’s regional communities. Empathy for society begins with listening to small voices, turning attention toward diverse societies different from our own and allowing ourselves to be moved by their hopes and aspirations. Ultimately, this leads to gaining support from society and becomes the driving force behind activities sus- tained and cherished by empathy. It is precisely because we are all different that we can create a truly wonderful society. The Inochi Forum, together with organizations like Com- mon Beat that promote social business, will work to create a future sustained by empathy—where differences are em- braced and aspirations are shared. [References] ・Common Beat: https://commonbeat.org/ [Action Platform] Economy, Employment and Poverty / Diversity and Inclusion [SDGs] Diagram: Value sharing via CyberTrophy"
3-4-3,3,3-4,70,"Create mixed communities where people of diverse generations can live vibrantly, ensuring that elderly and low-income residents in areas with a concentration of public housing do not become isolated. laboration with shopping districts, financial institutions, ESG initiatives of businesses, and local government digital transformation policies. Then, institutionally, legal definitions around digital certification and taxation frameworks for val- ue transfers must be clarified in consultation with relevant agencies. In addition to these initiatives, the governance of the entire system will prioritize openness—both in protocols and services—allowing participants to take active owner- ship in its development and evolution. The initiative begins with basic implementation in commer- cial and public facilities, validating the processes of value creation based on behavior. Key challenges include (1) Maintaining sustained engagement from users, (2) En- suring the reliability of data and (3) Establishing objective standards for evaluating value. Each of these issues will be addressed in turn. Success will be measured through indicators such as monthly active users, the volume of value created, and the economic impact on the local community. Through ongoing evaluation and refinement, the project seeks to foster an ecosystem in which community members take ownership of the system, supported by natural emer- gence of service providers. Each community can adapt this foundational model to its own local context, connect- ing loosely with others through shared principles, thereby co-creating a new, contemporary model of value circulation that is inclusive and regenerative. The Inochi Forum, together with initiatives such as Contin- uum Social and other organizations, will build systems that make the creation and circulation of data-driven value more democratic and open, and will strive to realize a society where the value created by all is shared by all—a society in which every Inochi unleashes its radiant light. [References] ・Continuum Social https://www.continuum.social/ ・A Novel Framework for Reputation-Based Systems https://a16zcrypto.com/posts/article/reputation-based-systems/ ・The Future of Work is Not Corporate — It’s DAOs and Crypto Networks https://a16zcrypto.com/posts/article/the-future-of-work-daos- crypto-networks/ ・Chris Dixon:Read Write Own Buildng the next era of the internet Read Write Own - Chris Dixon ・Jesse Walden : Fund Raising and Deal Structure Fundraising and Deal Structure - a16z crypto ・Scott Kominers:Everything Token https://www.hbs.edu/faculty/Pages/profile.aspx?facId=500905 [Action Platform] SDGs+Beyond [SDGs] A place to belong, a role to play, building connections"
3-4-4,3,3-4,71,"Deepen intergenerational dialogue and connection in our communities by preserving and sharing local stories and lived experiences through digital archives, in collaboration be- tween public libraries and historically significant public spaces. less*1 . This raises concerns such as “Who can manage the residents’ self-governance?” and “Who can take on the role of caretakers?” Furthermore, the number of foreign residents has increased in recent years, introducing language barriers. In the northwestern area of Nishinari Ward, Osaka City, there are over 1,500 municipal housing units across 44 buildings.It is also a dense area of aging wooden houses, with very few private rental properties available for fam- ily households *2 . Although Nishinari Ward promotes the motto “For the Children”*3 , the overwhelming shortage of family-friendly housing makes it difficult to advance these initiatives. On the other hand, it is said that there are more than 500 “policy vacant units” in municipal housing in Nishinari Ward—vacant units being held back in prepara- tion for rebuilding projects. If these units could be actively utilized for housing child-rearing families and young house- holds struggling to find housing, it could bring hope to solving the shortage of self-governance leaders amid the aging resident population. NICE Corporation*4 , based in Nishinari Ward, has been working to develop family-friendly rental apartments and youth share houses repurposed from vacant homes in the dense residential area. Partnering with local organizations such as the Human Rights Welfare Association and Nishi- nari Rinpo-kan Yu-to-Ai, they have been providing support services such as consultations, community watch programs, and safe spaces, with the aim of building mixed communi- ties. Utilizing this network, they advocate to the local gov- ernment to allow organizations like NICE and these local groups to sublease the policy vacant units from the munic- ipality and provide them as supported housing for young people and child-rearing households. The Inochi Forum will collaborate with diverse local orga- nizations to promote not only the physical development of such communities but also the soft aspects—such as comprehensive life consultations and residents’ association support. Through mixed community development in areas with concentrated public housing, we aim to create neigh- borhoods where elderly and low-income individuals do not become isolated. [Notes] *1 Ministry of Land, Infrastructure, Transport and Tourism, “About the Public Housing System” https://www.mhlw.go.jp/file/05-Shin- gikai-12201000-Shakaiengokyokushougaihoken- fukushibu-Kikakuka/0000196081.pdf *2 Osaka City, Redevelopment and Subsidy System for Dense Housing Areas https://www.city.osaka.lg.jp/toshiseibi/page/0000255852. html *3 Nishinari Ward Operation Policy, FY2023 https://www.city.osaka.lg.jp/nishinari/page/0000601001.html *4 NICE Corporation https://nice.ne.jp/ [Action Platform] Urban Development and Disaster Prevention / Diversity and Inclusion [SDGs]"
4-1-1,3,4-1,73,"While respecting cultural diversity, cultivate empathy with others who live in the same era but belong to different cultures, and cherish the preciousness and interconnectedness of every single Inochi 4 Bond Inochi Photo: “Are they similar? Or different?” Masks with common intimidating expressions, crafted in diverse locations worldwide."
4-1-2,4,4-1,74,"Build a society and culture where diverse forms of Inochi can flourish in harmony through creativity, inclusiveness, and playfulness, and create new kinds of schools, companies, and hospitals that enable everyone to express their creativity. Photo: “Are they different? Or similar?” A lobster-shaped coffin from near Accra, Ghana, used for a deceased shrimp farmer; alongside it, a pole-shaped coffin used by Aboriginal peoples in Australia. Despite the difference in form, both reflect a shared human emotion of mourning the dead."
4-1-3,4,4-1,76,"Cultivate individuals and organizations capable of designing and advancing creative dia- logue—a process that transcends divisions and fosters mutual understanding. Process of Creative Dialogue (Source: CSO Network Japan, “A Guide to Creative Dialogue for Coexistence with Foreign Workers”)"
4-1-4,4,4-1,77,"Foster a society where high school students, alongside university students, can explore the SDGs without assuming that there is a single correct answer, and where they can formulate their own questions through dialogue with others and propose their visions for the future in their own words. High school students debating at the seminar “Academically Exploring What Lies Beyond the SDGs”"
4-1-5,4,4-1,78,"Spread “Co-creative Education”, where diverse people transcend generations, sectors, and races to ask questions together, think together, learn together, challenge together, and re- fine each other together. MIRA-GE at Nagasaki Higashi High School: Multigenerational discussions on the future"
4-1-6,4,4-1,79,"Cultivate wisdom and courage and create a bright future by bringing together what is dif- ferent—urban and rural, elderly and children, analog and digital—and fostering spaces for honest dialogue. Experiences on remote islands"
4-1-7,4,4-1,80,"Young people, co-create a thriving future by strengthening Africa-Japan ties through inno- vation, entrepreneurship, and cultural exchange. Let’s lead with purpose and build sustain- able solutions together — as part of a shared global movement"
4-2-1,4,4-2,82,"Integrate the principles of gender equality into policies and systems across all sectors of society. By fostering mutual learning and connection among women, we can realize a new model of a sustainable society based on gender equality. Annual Conference and HYMEC’s Five Subcommittee"
4-2-2,4,4-2,83,"Promote a society where everyone knows about and supports menstruation as a concrete step toward achieving gender equality. preneurs, aiming to maximize their potential and create a society in which everyone can thrive authentically. Based on these efforts, HYMEC is planning further initiatives to realize its “50 by 50” vision—a goal of achieving 50% representa- tion of women in all fields across Japan by 2050. The Inochi Forum strongly believes that advancing gender equality will shape a new model of growth for a sustainable world. We are committed to working in partnership with diverse organizations including HYMEC to build a society where every Inochi unleashes its radiant light. [References] ・Haruno Yoshida Memorial Executive Committee (HYMEC) https://www.harunomemorial.jp/ ・5th WAW!/ W20 International Conference (2019) https://www.mofa.go.jp/mofaj/fp/hr_ha/page22_003059.html ・WEConnect International https://weconnectinternational.org/ [Action Platform] Diversity and Inclusion / Peace and Human Rights [SDGs] MeW dispenser installed in a restroom stall"
4-2-3,4,4-2,84,"Create more safe and welcoming spaces—at home, in schools, workplaces, and communi- ties—for LGBTQ+ individuals and those around them, who are often rendered “invisible”. difficulties in accessing menstrual products. Although the situation has improved since the 2011 Great East Japan Earthquake, there are still reports, such as from the 2024 Noto Earthquake, of challenges like sanitary products being placed in conspicuous locations where it is hard to retrieve them, or products not matching users’ needs. We must normalize the practice of making menstrual prod- ucts available in restrooms, just like toilet paper. Supporting menstruation in this way not only improves well-being but also serves as a trigger for greater awareness, discussion, and understanding of menstruation across schools, compa- nies, and society at large. The MeW Project will continue its awareness-raising and outreach efforts, collaborating with diverse actors. The Inochi Forum values and supports such initiatives. Together, we will work to spread the practice of knowing about and supporting menstruation as a concrete step toward achieving gender equality. [Notes] *1 UNICEF WHO monitor menstruation-related issues within the SDGs: https://washdata.org/monitoring/menstrual-health *2 The University of Osaka UNESCO Chair MeW Project: https://mew.hus.osaka-u.ac.jp/ *3 The University of Osaka Diversity and Inclusion Center – Free Provision of Sanitary Products in Restrooms: https://www.di.osaka-u.ac.jp/dispenser-list/ [Action Platform] Diversity and Inclusion [SDGs] Inside the Pride Center Osaka and its staff"
4-3-1,4,4-3,86,"Expand the activities of “Children’s Cafeterias” and realize a society in Japan and across the world where “places of belonging” that connect people and nurture every Inochi to unleash its radiant light are present in every community. Declaration 4-3 Broaden safe spaces across communities where everyone can gather, connect, and find roles and purpose in life. Children’s cafeteria whrere anyone can join"
4-3-2,4,4-3,87,"Let us create, together, a safety net for children and young people in entertainment districts, so that every young person can have hope for their own future. ・2024 National Survey on the Number of Children’s Cafeterias https://musubie.org/news/11208/ ・Inochi Forum Partnership Program https://musubie.org/news/10414/ [Action Platform] Education and Children / Economy, Employment and Poverty/ Urban Development and Disaster Prevention / Diversity and Inclusion / Arts, Culture and Sports [SDGs] Food aid boxes and support in Osaka's Minami district"
4-3-3,4,4-3,88,"Build a society where children, young people, and every individual are respected as irre- placeable members of society and can find both a place and a role to belong. will also build regional support hubs in collaboration with local governments, schools, businesses, and NPOs. Further- more, it will expand vocational experiences and internships tailored to young people’s interests and aptitudes, strength- en job-matching with companies, and increase employment opportunities. D×P will also promote outreach via social media, schools, and communities to connect with young people before isolation becomes severe, share their voices and realities with society to eliminate prejudice and misun- derstanding, and broaden the circle of support. In view of the challenges that may persist in 2050, advances in AI could enable various forms of support. Yet even in that era, many children and young people may still fall through the gaps of public assistance and institutional frameworks. Entertainment districts are likely to continue attracting peo- ple and offering, for some, a sense of belonging—meaning that many children and young people may still gather there. To prepare for this possibility, the Inochi Forum will work together with organizations including D×P to establish not only public safety nets but also robust private ones, forming support hubs across Japan where young people—regard- less of the environment in which they were raised—can find the connections and bonds they need to build stable lives. [Notes] *1 International Monetary Fund (IMF), World Economic Outlook Database, 2024. *2 The Nippon Foundation, Ending Child Poverty, 2023. *3 Ministry of Education, Culture, Sports, Science and Technol- ogy (MEXT), Survey on Problematic Behavior and School Non-Attendance, 2022. *4 According to MEXT’s School Basic Survey (2023, Final Data), the number of high school dropouts in 2023 was 45,813, with a dropout rate of 1.5%. *5 Cabinet Office, Government of Japan, White Paper on Chil- dren and Young People, 2023. [References] ・Certified Nonprofit Organization D×P https://www.dreampossibility.com/ [ActionPlatform] Peace and Human Rights [SDGs] The boy decorates the flowers he has grown with ribbons and adds a message"
4-3-4,4,4-3,89,"Create symbiotic community-based societies where all people, including older adults, have meaningful roles, through care practices that value individual identity and attend to each person’s heart. However, the situation for children remains serious. According to the Children and Families Agency, the number of reported child abuse cases exceeded 210,000 in 2022, more than double the figure from a decade ago (cases handled by child consultation centers). Among developed countries, Japan has the highest suicide mortality rate among young people at 16.3%, according to a World Health Organization report from February 2023. To address these challenges, the Japan Philanthropic Asso- ciation has launched an agriculture–welfare collaboration project (Noufuku), where individuals with disabilities, social withdrawal, criminal records, or foreign nationalities en- gage in agriculture, revitalizing local farming communities suffering from a shortage of next-generation farmers and abandoned farmland. Through the revitalization of agricul- ture, this initiative aims to create regions that are kind to both people and the environment—places where children can grow up with hope for the future. The goal is to build regions where everyone has a place and a role by the year 2050. Together with organizations like the Japan Philanthropic Association, the Inochi Forum will expand the circle of sup- port, engaging companies’ social resources and employees, to build a society where everyone has a place and a role— playing our part in connecting and sustaining Inochi. [References] ・Japan Philanthropic Association: https://www.philanthropy.or.jp/ ・Agriculture–Welfare Collaboration Projects for Creating a Sym- biotic Society: https://www.philanthropy.or.jp/noufuku/adopted/ [Action Platform] SDGs+Beyond [SDGs] People with disabilities working alongside farmers"
4-3-5,4,4-3,91,"Regard dementia as the greatest stage of growth in life, and by focusing on what we can do now and living with gratitude, build a kind and inclusive society where everyone cherishes their bodies and can live with peace of mind. Orangelympic scenes"
4-3-6,4,4-3,92,"Health is one of our greatest assets—something to be nurtured in everyone, including those with illness or disability. When we nurture health, we create the conditions for all people to participate fully—in families, communities, work, and planetary care. Students participating in the UO-UC educational program"
4-4-1,4,4-4,94,"Create our own SDGs at the community level, implement them through local action, and build a society that protects and nurtures the dignity of Inochi. Declaration 4-4 Build networks across regions and affiliations to advance community building that cherishes Inochi. Various teaching materials for learning about the SDGs The English versions of “SDGs and Japanese Society” and “SDGs and Local Com- munities”"
4-4-2,4,4-4,95,"To address complex challenges, identify and empower “hubs” that can connect people be- yond their affiliations and disciplines."
4-4-3,4,4-4,96,"Practice business that fulfills the aspirations of communities that nurture cultural diversity, and together create a beautiful economic landscape welcomed by the future. Diagram: Social Network of Key Third-Sector Figures (June 23, 2016) A single circle represents one person; size reflects the number of mentions. Circles are grouped by region, and lines between circles indicate social connections. (Source: Sugano, 2020)"
4-4-4,4,4-4,97,"Express our gratitude to nature and those who bring food to our tables, and remember that each of us has a role in passing on what we value to future generations. mously passed by the city council. Kyoto’s unique business culture places high value on steadfast philosophies such as “Priority to Justice over Profit” (Sen-gi Kōri) and “Per- petual Change within Immovability” (Fueki Ryūkō), along with trust-based relationships, originality, and the health of the value chain. Many companies engaged in long-term management practices grounded in these principles have not only sustained Kyoto’s economy but also supported citizens’ lives and the preservation of culture. Such commu- nity-based management practices suggest an economic activity that prioritizes what is essential to the community over short-term profits or business scale, embodying the values and diversity befitting the blue planet—a truly “beau- tiful economic landscape.” In March 2021, the Community Based Companies Forum, launched from Kyoto, began spreading throughout Japan to places like Kagoshima, Nagano, Sapporo, and Okinawa as a platform for accumulating practical knowledge on business that fulfills community aspirations. Additionally, RELEASE; launched the Community Based Economy Journal, a busi- ness documentary magazine that highlights economic activities aimed at increasing local natural and cultural capital without depleting it. The journal continues to spark dialogue about the kinds of businesses now needed across different regions. In 2024, they also set up in InterConnected Arts®/Japan, an initiative to discover the knowledge and beauty embed- ded in traditional craftsmanship across Japan, rooted in the symbiosis of nature and people*5 . By curating journeys that revolve around the act of “making”—the central verb of economic activity—and sharing these experiences with business leaders around the world, the project aims to form cross-border communities that expand the “Community Based Economy” movement and foster the exchange of knowledge and values globally. The Chinese character for “life” (生) is said to depict the image of grass sprouting from the soil, combining the elements for “sprout” (屮) and “soil” (土). Without soil, there can be no life. Together with organizations like RELEASE;, the Inochi Forum will work to expand an economic sphere that preserves the “soil” of diverse cultures across regions, ensuring that Inochi can continue to live vibrantly into the future. [Notes] *1 UNESCO, Universal Declaration on Cultural Diversity https://www.unesco.org/en/legal-affairs/unesco-univer- sal-declaration-cultural-diversity *2 Community Based Economy: https://community-based.org/statement/ *3 Declaration of Community-based Companies in Kyoto: https://www.city.kyoto.lg.jp/sankan/page/0000241891.html *4 Kyoto City Ordinance on the Promotion of Sustainable Devel- opment of Community-based Companies: https://www.city.kyoto.lg.jp/sankan/page/0000249106.html *5 in InterConnected Arts®/Japan https://journey.release.world/en/in-interconnected-arts-japan [Action Platform] Economy, Employment and Poverty [SDGs] A project for discovering and sharing knowledge and beauty, uncovering the act of creation and foregrounding it as a journey"
4-5-1,4,4-5,99,"Realize a society where companies take responsibility for their actions, articulate their envi- sioned future, and engage in dialogue with society, working together to solve environmen- tal and social issues. Declaration 4-5 Build networks across regions and affiliations to advance community building that cherishes Inochi. Structure of “Sanpo-yoshi”"
4-5-2,4,4-5,100,"Confront social challenges on the foundation of liberal arts, practice mutual-aid manage- ment, propose pathways toward a sustainable society, and share values that will guide the future. Establishment of a “Mutual-Aid” Platform"
4-5-3,4,4-5,101,Realize a sustainable society that responds to the voices of the unheard by expanding a funding ecosystem grounded in trust and empathy—so that personal thoughts and aspira- tions can become the driving force for shaping society.
4-5-4,4,4-5,102,"Recognize people not merely as capital to generate wealth, but as irreplaceable Inochi, and transform the world of business into one that truly embraces human rights. Human rights due diligence required of enterprises"
4-5-5,4,4-5,103,"Understand the worldviews of those in different positions, turn our eyes to the sources that sustain the economy, and realize a sustainable society through leadership that connects us with those sources. able to sustain growth in the global arena. In this context, companies such as Link Saussure Inc. in Japan are actively addressing human rights risks. Their initiatives go beyond risk identification and analysis; they offer support for organizational reform that tackles root causes, and for stakeholder reporting that promotes trans- parency and accountability. Rather than framing issues as a binary conflict of “self” versus “others,” we must broaden our perspective to include the entire world that surrounds us. Instead of reducing complexity to “either/or” logic, we must adopt “both/and” thinking—perceiving change as a gradient and embracing the human responsibility to leave behind a society rich in dignity and possibility for future generations. The Inochi Forum will continue to support efforts to ensure that corporate engagement with human rights becomes a societal norm. We will work to promote consistent and com- prehensive support—from identifying and analyzing risks to improving organizational practices and disclosing informa- tion to stakeholders—thereby contributing to the realization of a society filled with hope for the future. [References] ・The Importance of Human Rights Due Diligence: https://www.link-ss.co.jp/human-rights/ [Action Platform] Economy, Employment and Poverty / Peace and Human Rights [SDGs]"
4-5-6,4,4-5,104,Support starting to work and continuing to work for everyone by shifting public procure- ment from price competition to competition on employment quality and strengthening in- termediary support organizations that focus not just on the number but also the quality of employment.
4-6-1,4,4-6,106,"Rediscover traditional Japanese views of nature—embodied in the concept of “Chinju no Mori” (sacred groves) and the belief in “Yaoyorozu no Kami “(eight million deities)—and apply them to contemporary challenges such as biodiversity conservation, ecosystem res- toration, and human-nature coexistence. Declaration 4-6 Raise awareness of our interconnectedness with nature and open pathways for living together with it. The forest at the southern foot of Yatsugatakev Kamikura Shrine, Wakayama Prefecture"
4-6-2,4,4-6,107,"Revive the interconnectedness and cycles of Inochi by restoring traditional lifestyles in harmo- ny with nature in each local community, thereby passing on a society that values every Inochi. Creating spaces where children and adults grow together The temple lodgings of Mount Hiko, revived by the efforts of many people"
4-6-3,4,4-6,108,"Transform workplaces and corporate-owned natural, intellectual, and cultural assets into open hubs for society, where Inochi is cherished."
4-6-4,4,4-6,110,"Just as coral reefs grow while embracing diverse forms of nature, create a future where the world’s unique natural environments and cultures are respected and flourish together, by building a Coral Ark—an offshore university connecting humanity and nature across regions and generations. co-organizes the event, and operations are supported by corporate and organizational donations. In 2025, GBEF will be held at the Osaka-Kansai Expo, bringing together multigenerational participants in collaborative and sus- tainable activities. The company also aims to establish at least one certified provider of “experiential” environmental education and ESD in all 47 prefectures, cultivating lead- ers for local communities. ●Sharing the Value of Zero Waste Design with Asia and Protecting Inochi on Earth Many Asian countries lack technologies for proper waste management and have not developed effective recycling systems. Some even lack customs of using trash bins. Ishizaka Sangyo offers its recycling technologies and intellectual assets that allow for 98% resource recovery of construction waste to countries across Asia. By spread- ing Zero Waste Design abroad, the company promotes a circular economy. It actively accepts study tours and internships from overseas and hires individuals passionate about environmental business, supporting entrepreneur- ship in more than five countries. The Inochi Forum will collaborate with organizations in- cluding Ishizaka Sangyo to encourage the development of community models such as Santome Konjaku Mura in regions across Japan. [Notes] *1 Satoyama is a Japanese term for the border area between village and mountain, where people live in harmony with nature.” [References] ・Mitomi Konjaku-Mura https://santome-community.com/ ・Research Institute for “Opportunities for Experience” https://esd-place.org/ [Action Platform] Education and Children [SDGs] Our ancestors first emerged 500 million years ago. Throughout Earth’s environmental changes, some of our relatives went extinct, while at times, favorable conditions in the seas led to the flourishing of many new life forms. The more our kind thrived, the more other living beings gathered around us. Though we do not remember the moment of our birth, we came into existence in the dark sea where faint, warm light reached us. As adults, on nights of the full moon, we release the next generation into the water. I was alone at first, deciding to settle and live here. Soon after, my body tingled, and before I knew it, I became two. Then four, eight—dividing endlessly. Each of the children here has a different shape, each uniquely individual. Small partners live within our bodies, and together we draw strength from the sunlight. Our bodies grow, transforming into stone and accumu lating over years, decades, centuries, and millennia. Though some parts are unstable, as we stack upon each other, different kinds of beings also gather, creating a place where diverse life converges. A vision of a future where diverse people and nature coexist like a coral reef"
4-6-5,4,4-6,111,"Return the land that humankind has long occupied to the lives beyond human beings. sedimentation from red soil runoff. Today, humanity faces an era where human-induced activi- ties—like CO₂ emissions leading to global warming—impact climate systems and the natural environment, making it difficult to predict the future of our living conditions. In these times, it is crucial that we learn from and apply the wisdom and cultures of coral reefs, which have harmonized with nature over vast timescales, supporting diverse life forms. Coral reefs are not only ecosystems but also arenas where people from various cultures, ethnicities, and generations gather. They serve as vibrant fields for learning and creativ- ity, attracting researchers and practitioners across diverse disciplines, including natural sciences, humanities, and social sciences. At the Kikai Institute for Coral Reef Sciences, based in Kikai Island of the Amami Archipelago, researchers, artists, and local residents collaborate under the philosophy of “Pre- serving for 100 Years.” Together, they nurture future leaders, fostering a coral reef–style regional hub that bridges cul- tures and disciplines. Young people from various regions and countries have gathered, and while moving between cities and local communities, they have created a center for feeling, discovering, conveying, and preserving the rich nature of the Earth, the lives of its inhabitants, and the forms nature should take. By 2030, they aim to establish a network connecting cities and regions worldwide, where humans and nature co-en- gage, seeking to preserve rich ecosystems while exploring new possibilities for relationships between people and nature. By 2050, they will build a Coral Ark—an offshore university—to foster deep, cross-border and cross-region- al connections for a future where diverse beings coexist and thrive. Through these activities, like coral reefs, where diverse beings coexist in mutual respect, they will create a better future for both humanity and nature by ensuring that each region’s unique natural environments and cultures are honored and sustained. In collaboration with organizations like the Kikai Institute for Coral Reef Sciences, the Inochi Forum will work to create a future where nature and culture are respected and flourish in harmony. [References] ・Kikai Institute for Coral Reef Sciences: https://kikaireefs.org ・Research Institute for Humanity and Nature – SceNE Project: https://www.chikyu.ac.jp/rihn/activities/project/detail/26 ・Coral Reef Earth Environmental Studies Laboratory, Hokkaido University: https://www.sci.hokudai.ac.jp/grp/crees/CREES-web [Action Platform] Environment and Biodiversity [SDGs]"
4-6-6,4,4-6,112,"Make the burdens that human activity imposes on nature—the “Voices of Inochi”—visible and use this as a catalyst to change our mindsets and behaviors. Let us expand Japan’s practices into a global framework. ecosystems as teachers and aims to revolutionize human land use and development, returning habitats to other forms of life. To achieve this, it is not sufficient to address only the physical aspects such as buildings and infrastructure. While technical solutions may exist, they are often not chosen or implemented because they are obstructed by human sys- tems—economic indicators, evaluation criteria, institutional behavior, and cultural frameworks—which themselves stem from the inner states of human beings. Give Space approaches “space” through four dimensions: 1. Physical 2. Mental (economic, legal, organizational, cultural) 3. Emotional (feelings, emotions, sensitivities) 4. Spiritual (mind, soul) It is a process of engaging with all these realms through everyday actions. Based on her previous work, Iguchi established the General Incorporated Association Give Space Urban Design and will advance efforts to return land to non-human lives through three pillars: ●Research – showcasing pioneering global practices, ar- chitectural methods and tools, and promoting academic publications originating from Japan. ●Practice – providing urban development consulting ser- vices for the private sector, offering educational programs for individuals (especially children) to nurture “a sensitiv- ity for Inochi” and “a love for nature”, and operating sites of practical Give Space implementation in collaboration with those who possess land but seek meaningful ways to use it. ●Evaluation – introducing new assessment methods that leave positive footprints on the Earth and supporting a transition toward life-centered values in as many develop- ment projects as possible. The Inochi Forum will advocate for the principles of Give Space—enabling the sharing of habitats with the lives be- yond human beings—to be embedded in national policies, urban development practices, and corporate initiatives, by engaging with policymakers, public officials, architects, engineers, and other professionals. [Action Platform] Urban Development and Disaster Preparedness [SDGs]"
5-1-1,4,5-1,114,"Explore coexistence with nature from the perspective of younger generations, and co-cre- ate concrete actions toward a sustainable society through dialogue that transcends genera- tions and cultures. 5 Understand Inochi “Feeling the Sea” Exhibition in Shibuya, Tokyo"
5-1-2,5,5-1,115,Reflect on global challenges through something as familiar as food. Food is intricately con- nected to global issues such as climate change and armed conflicts. Let us join hands to address challenges other than food as well. “20 Tragedies Hidden from the World” exhibited at the Osaka-Kansai Expo. Photo cour- tesy of UNDP Tokyo.
5-1-3,5,5-1,116,Cultivate the power to care for distant and future Inochi and tackle climate change as an issue that concerns us all.
5-1-4,5,5-1,117,"To protect the future of Earth’s environment, expand partnership activities based on empa- thy, build a platform for realization, and create a society where everyone can choose actions that value Inochi."
5-2-1,5,5-2,119,"Through learning and dialogue facilitated by games, feel the contrast between a world with a shared goal and one without—and co-create an inclusive society where everyone can shape the future together. Board Game “Get The Point” A localized version was launched in Ichihara City, Chiba Prefecture “Touch The Point” experience session"
